source_native_id,title,content_type,release_year,country_code,language_code,platform,metric_date,views,watch_seconds,unique_viewers,starts,completions,revenue_cents,external_id,external_id_namespace
demo-office-us,The Office (2005),series,2005,US,en,Peacock,2026-07-28,125000,165000000,91000,132000,82000,225000,tt0386676,imdb
demo-office-alias,"Office, The",series,2005,US,en,Netflix,2026-07-28,98000,129360000,73000,104000,64000,176400,,
demo-office-ambiguous,The Office,series,,,en,Hulu,2026-07-28,42000,55440000,31000,45000,27000,75600,,
demo-office-uk,The Office (UK),series,2001,GB,en,Hulu,2026-07-28,35000,46200000,26000,38000,22000,63000,,
demo-parks,Parks & Rec,series,2009,US,en,Peacock,2026-07-28,68000,89760000,49000,73000,43000,122400,,
demo-oppenheimer,Oppenheimer,movie,2023,US,en,Netflix,2026-07-28,83000,597600000,61000,87000,58000,149400,tt15398776,imdb
demo-dune-exact,DUNE: PART ONE,movie,2021,US,en,Max,2026-07-28,91000,372190000,66000,98000,57000,163800,tt1160419,imdb
demo-dune-alias,Dune (2021),movie,2021,US,en,Prime Video,2026-07-28,52000,212680000,38000,56000,32000,93600,,
demo-dune-ambiguous,Dune,movie,,US,en,Prime Video,2026-07-28,19000,77710000,14000,20500,11200,34200,,
demo-shogun-normalized,SHŌGUN,series,2024,US,en,Disney+,2026-07-28,64000,94720000,47000,69000,47000,115200,tt2788316,imdb
demo-parasite-localized,기생충,movie,2019,KR,ko,Prime Video,2026-07-28,28000,97504000,21000,30200,16800,50400,,
demo-eeaao-acronym,EEAAO,movie,2022,US,en,Prime Video,2026-07-28,67000,247632000,49000,72000,41000,120600,tt6710474,imdb
demo-fargo-film,Fargo (1996),movie,1996,US,en,Prime Video,2026-07-28,21000,54331200,15800,22600,12700,37800,tt0116282,imdb
demo-fargo-series,Fargo (TV),series,2014,US,en,Hulu,2026-07-28,61000,90280000,45000,65800,44000,109800,tt2802850,imdb
demo-fargo-ambiguous,Fargo,series,,US,en,Hulu,2026-07-28,9000,13320000,6700,9700,6200,16200,,
demo-moana-localized,Vaiana,movie,2016,US,en,Prime Video,2026-07-28,20000,56544000,14700,21600,12600,36000,,
demo-batman-year,Batman (1989),movie,1989,US,en,Max,2026-07-28,25000,83160000,18500,27000,15200,45000,tt0096895,imdb
demo-unresolved,Office Hours,movie,2024,US,en,Hulu,2026-07-28,1200,8640000,900,1300,700,2160,,
